"","X","GPA","HSGPA","SATV","SATM","Male","HU","SS","FirstGen","White","CollegeBound"
"1",1,3.06,3.83,680,770,1,3,9,1,1,1
"2",2,4.15,4,740,720,0,9,3,0,1,1
"3",3,3.41,3.7,640,570,0,16,13,0,0,1
"4",4,3.21,3.51,740,700,0,22,0,0,1,1
"5",5,3.48,3.83,610,610,0,30.5,1.5,0,1,1
"6",6,2.95,3.25,600,570,0,18,3,0,1,1
"7",7,3.6,3.79,710,630,0,5,19,0,1,1
"8",8,2.87,3.6,390,570,0,10,0,0,0,0
"9",9,3.67,3.36,630,560,0,8.5,15.5,0,1,1
"10",10,3.49,3.7,680,670,0,16,12,0,1,1
"11",11,3.25,3.53,380,470,0,18,7,0,0,1
"12",12,3.18,3.48,630,670,0,26.5,1.5,0,0,1
"13",13,3.85,3.81,680,740,1,34,0,0,1,1
"14",14,2.58,3.38,710,750,1,8,3,0,1,1
"15",15,3.5,3.8,670,650,0,20,3,0,1,1
"16",16,3.17,3.55,580,690,0,14,3,0,1,1
"17",17,2.74,3.4,510,610,0,11,10,0,1,1
"18",18,3.42,3.76,690,670,0,4,17,1,1,1
"19",19,2.9,3.74,660,640,0,3,18,0,0,1
"20",20,3.16,3.83,580,640,1,4,14,0,1,1
"21",21,3.78,3.98,720,730,1,7,6,0,1,1
"22",22,2.72,3.44,550,570,0,15,3,0,0,1
"23",23,2.81,3.59,580,630,1,16,6,0,1,1
"24",24,3.56,3.6,690,710,1,8,10,0,1,1
"25",25,3.3,3.56,700,640,1,10,10,0,1,1
"26",26,4,4,450,640,1,22,11,0,0,1
"27",27,3.4,3.2,630,770,1,6,12,0,1,1
"28",28,2.29,3.3,630,450,0,16,4,0,0,1
"29",29,3.2,3.25,590,670,0,0,18,0,1,1
"30",30,2.58,3.38,500,430,0,5,3,1,0,1
"31",31,3.11,3.94,620,640,1,17,6,0,1,1
"32",32,3,2.8,530,700,0,9,7,0,1,1
"33",33,3,3.7,620,740,1,7,18,0,1,1
"34",34,3.61,3.46,680,720,1,13,12,0,1,1
"35",35,3.53,3.99,610,630,0,26,3,0,0,1
"36",36,2.59,3.59,580,550,0,4,17,1,0,1
"37",37,3.71,4,570,530,0,25,4,0,1,1
"38",38,3.26,3.78,710,690,1,8,12,0,1,1
"39",39,2.1,3.48,580,630,0,15,10,0,1,1
"40",40,3.79,3.9,670,690,1,5,3,0,1,1
"41",41,3.43,3.12,640,660,1,12,0,0,1,1
"42",42,3.13,3.2,610,650,1,14,6,0,1,1
"43",43,3.41,3.83,640,780,1,29,3,0,1,0
"44",44,2.23,2.82,600,710,0,18,7,0,1,1
"45",45,3.16,3.61,570,550,0,14.5,8.5,0,1,1
"46",46,3.48,3.4,690,720,0,22,6,0,0,1
"47",47,3.82,3.35,660,730,1,26,3,0,1,1
"48",48,2.32,3.2,730,650,1,14,11,0,1,1
"49",49,3.44,3.7,700,630,0,19.5,4.5,0,1,1
"50",50,2.8,3.48,460,600,1,27,7,0,1,1
"51",51,2.69,4,560,620,0,3,10,0,1,1
"52",52,2.9,3.22,680,610,1,7,19,0,1,1
"53",53,2.77,3.5,660,560,0,15,7,0,1,1
"54",54,3.52,3,460,480,0,18,9,0,1,1
"55",55,3.28,3.53,540,610,1,14,9,0,1,1
"56",56,3.42,3.4,530,680,1,14,6,0,0,1
"57",57,2.24,3.75,520,600,0,6,4,1,0,1
"58",58,3.66,3.7,680,740,0,27.5,4.5,0,1,1
"59",59,3.34,3.89,570,730,1,21,0,1,1,1
"60",60,3.29,3.89,590,580,0,11,12,0,1,1
"61",61,3.41,3.52,520,580,0,25,6,1,1,1
"62",62,3.06,3.2,660,650,0,14,7,0,1,1
"63",63,2.7,3.25,640,640,1,9,17,0,1,1
"64",64,2.9,3.19,710,630,1,11,12,0,1,1
"65",65,3.89,4,740,800,1,12,0,0,1,1
"66",66,3.11,3.18,610,570,1,22,16,0,1,1
"67",67,3.73,3.79,580,610,0,24,3,0,1,0
"68",68,2.52,3.55,670,660,0,10,11,0,1,1
"69",69,2.84,3.9,700,650,0,1.5,10.5,1,1,0
"70",70,2.51,3.5,560,670,0,8,9,0,1,1
"71",71,2.84,3.69,680,590,1,30,9,0,0,1
"72",72,3.88,3.6,630,640,1,30,0,0,1,1
"73",73,2.67,3.4,310,440,0,6,9,1,0,0
"74",74,3.26,2.5,600,640,0,13,0,0,1,1
"75",75,3.48,3.95,590,610,0,4,9,0,1,0
"76",76,2.24,3.37,570,590,1,9,0,1,0,1
"77",77,2.27,3.1,500,660,0,9,6,0,1,1
"78",78,3.04,3.54,610,750,1,6,11,0,1,1
"79",79,3.75,3.18,580,650,1,6,7,0,1,1
"80",80,3.55,3.74,670,570,0,10,12,0,1,1
"81",81,3.17,3.48,660,710,1,6,14,0,1,1
"82",82,3.44,3.1,570,740,1,6,4,0,1,1
"83",83,2.91,2.79,580,550,1,13,11,0,1,1
"84",84,3.52,3.79,510,580,0,14,7,0,1,1
"85",85,3.34,3.09,630,610,0,12,14,0,1,1
"86",86,2.45,3.03,520,650,0,7,11,0,1,1
"87",87,2.78,3.08,550,540,0,14,4,0,1,1
"88",88,3.27,4,560,690,0,6,8,1,1,1
"89",89,3.28,3.92,620,610,0,4.5,4.5,1,0,1
"90",90,3.25,3.11,710,630,1,14,7,0,1,1
"91",91,3.49,4,610,580,0,7,3,0,0,1
"92",92,3.6,3.81,600,580,0,4,10,0,1,1
"93",93,2.83,3.65,640,710,1,9,10,0,1,1
"94",94,3.01,2.94,540,580,1,19,0,1,0,1
"95",95,2.7,3.6,640,730,0,14,13,0,1,1
"96",96,2.58,3.7,520,650,1,7,13,0,1,1
"97",97,2.89,3.79,640,670,1,13,0,0,1,1
"98",98,3.3,3.32,620,600,0,22,6,0,1,1
"99",99,3.15,3.32,650,620,0,8,13,0,1,1
"100",100,2.88,3.1,700,500,0,19.5,4.5,0,1,1
"101",101,3.43,3.71,680,650,0,15,9,0,1,1
"102",102,3.68,3.73,660,590,0,19,7,0,1,1
"103",103,3.03,3.66,640,680,0,11.5,11.5,0,1,1
"104",104,3.46,3.6,590,630,1,16,6,1,1,0
"105",105,3.49,3.53,590,750,1,7,14,0,0,1
"106",106,3.34,3.76,510,650,0,15,4,0,0,1
"107",107,3.5,3.95,690,590,0,9,14,0,1,0
"108",108,2.97,3.39,540,600,0,40,12,0,1,0
"109",109,3.06,3.2,590,590,0,15,0,0,1,1
"110",110,2.64,2.75,520,630,0,13,6,0,0,1
"111",111,3.24,3.54,710,720,1,4,9,0,1,1
"112",112,3.38,3.5,650,620,0,17,4,0,1,1
"113",113,2.67,3.2,520,510,0,12,9,0,0,1
"114",114,3.31,3.33,580,670,1,15,10,0,1,1
"115",115,3.74,4,580,690,0,23,6,0,1,1
"116",116,2.93,3.47,560,630,0,16,11,0,1,1
"117",117,3.53,3.65,590,560,1,21,10,0,1,1
"118",118,3.11,3.94,610,690,1,28,0,0,1,1
"119",119,3.07,3.72,700,720,0,9.5,13.5,0,1,1
"120",120,3.26,3.01,670,680,1,14,10,0,1,1
"121",121,3.22,3.92,550,570,0,6,4,1,1,0
"122",122,2.89,3.19,610,580,1,19,9,0,1,1
"123",123,3.19,3.1,620,460,1,24,6,0,1,1
"124",124,3.32,3.6,710,640,0,17,6,0,0,1
"125",125,3.66,3.78,720,630,1,26,0,0,1,1
"126",126,2.95,3.59,630,630,1,12,3,0,1,1
"127",127,2.82,3.8,740,720,1,14,3,0,1,1
"128",128,3.67,3.07,520,560,0,17,9,0,1,1
"129",129,3.67,4,690,750,0,17,6,0,1,0
"130",130,2.19,2.88,680,740,1,7,9,0,0,1
"131",131,3.32,3.87,660,590,0,13,6,0,1,1
"132",132,3.48,3.81,530,720,1,9,13,1,1,1
"133",133,2.87,2.76,570,710,1,10,13,0,1,1
"134",134,3.57,3.06,680,690,1,14,3,0,1,1
"135",135,3.65,3.94,730,640,0,12,6,0,1,1
"136",136,2.85,3.94,650,640,1,10,0,0,1,1
"137",137,3.21,2.97,480,590,0,20,4,0,1,1
"138",138,2.35,2.99,650,600,1,0,10,0,0,1
"139",139,2.4,2.76,400,580,1,3,18,0,0,1
"140",140,2.52,3.19,580,650,1,5,13,0,1,1
"141",141,3.57,3.62,670,700,1,25,7,0,1,1
"142",142,2.03,2.53,500,560,0,5,6,0,0,1
"143",143,2.97,3.09,570,590,1,0,19,1,0,1
"144",144,2.9,3.94,630,670,1,4,6,0,0,1
"145",145,2.42,3.92,620,700,1,8,3,0,1,0
"146",146,3.33,3.7,610,660,0,16,7,0,1,1
"147",147,3.77,3.84,620,670,0,19,3,0,1,1
"148",148,3.33,3.79,620,580,0,9,0,0,1,1
"149",149,3.37,3.16,550,670,1,14,10,0,0,1
"150",150,2.68,3.75,530,660,0,14,3,0,1,1
"151",151,3.33,3.25,620,670,1,19,3,0,1,1
"152",152,3.75,3.24,690,580,1,12,7,0,1,1
"153",153,3.68,3.1,640,680,1,11,3,0,1,1
"154",154,2.16,2.64,510,650,1,10,7,0,1,1
"155",155,2.53,3,670,740,0,13,0,0,1,1
"156",156,3.23,3.86,550,510,0,8,14,0,1,0
"157",157,3.4,3.99,710,610,0,26,0,0,1,1
"158",158,2.59,3.58,600,490,0,15,21,0,1,1
"159",159,3.79,4,610,640,1,13,9,0,1,1
"160",160,3.52,3.22,610,670,1,14,17,0,1,1
"161",161,3.1,3.04,620,590,1,9,13,0,1,0
"162",162,3.34,3.36,610,680,0,10.5,5.5,0,1,1
"163",163,2.74,3.02,600,550,0,17,6,0,1,1
"164",164,3.14,2.85,490,530,0,15,7,0,1,1
"165",165,2.29,3.49,500,600,0,6,7,0,1,1
"166",166,3.16,3.58,630,620,1,26,3,0,1,1
"167",167,3.06,3.46,650,600,1,6.7,7,0,1,1
"168",168,2.74,3.45,610,700,0,9,0,1,1,1
"169",169,2.63,3,620,550,0,16,7,0,1,1
"170",170,3.06,3.35,590,580,0,9,4,1,1,1
"171",171,3.97,3.75,480,550,0,7,13,0,1,0
"172",172,2.68,3.76,580,630,1,24,10,0,1,1
"173",173,3.58,3.88,590,540,0,13,15,0,1,1
"174",174,3.56,3.16,580,700,1,9,11,0,1,1
"175",175,2.63,3.14,400,430,0,7,6,1,0,1
"176",176,1.97,2.61,430,560,0,14,0,0,0,1
"177",177,3.66,3.4,590,690,1,17,6,0,1,1
"178",178,3.51,3.64,700,760,1,16,3,0,1,1
"179",179,3.07,3.38,720,750,1,15,0,0,1,0
"180",180,3.2,3.75,540,520,0,7,13,0,0,1
"181",181,2.58,2.83,630,730,1,17,3,0,1,1
"182",182,1.93,3.01,590,650,1,0,4,0,0,1
"183",183,3.51,3.12,470,530,1,33,11,0,1,1
"184",184,2.75,3.5,650,710,0,14,15,1,1,1
"185",185,3.06,3.12,560,730,1,10,11,0,1,1
"186",186,2.91,3.85,530,500,0,12,6,0,1,1
"187",187,2.56,3.52,690,740,1,15,0,0,0,1
"188",188,2.6,3.31,630,680,1,5,3,0,1,1
"189",189,2.41,3.11,370,440,0,12,6,1,0,1
"190",190,2.5,2.34,710,710,1,9,3,0,1,1
"191",191,2.95,2.85,670,580,0,5.5,9,0,1,1
"192",192,2.74,3.8,710,710,0,26,13,0,0,0
"193",193,2.83,3.1,570,620,0,11,6,0,1,1
"194",194,3.2,3.28,570,480,0,20,3,0,1,1
"195",195,3.63,3.62,600,630,1,10,3,0,1,1
"196",196,2.46,3.07,660,570,0,16,0,0,1,1
"197",197,3,2.94,430,520,1,8,14,0,0,1
"198",198,3.52,3.65,610,550,0,15,6,0,1,1
"199",199,3.11,3.67,540,670,1,22,0,0,1,1
"200",200,2.76,2.9,730,620,1,12,10,0,1,1
"201",201,3.37,4,620,660,1,12,6,0,0,1
"202",202,2.56,3.96,620,680,0,0,3,0,1,1
"203",203,2.38,3.7,260,580,1,6,6,0,0,1
"204",204,3.69,3.04,710,690,1,13,12,0,1,1
"205",205,2.1,3.65,400,480,1,3,6,1,0,1
"206",206,3.12,3.25,650,640,0,10,3,0,1,1
"207",207,2.24,2.67,420,540,0,3,0,1,0,1
"208",208,2.23,2.7,550,600,0,5,4,0,1,1
"209",209,3.72,3.87,690,750,1,7,0,0,1,1
"210",210,3.68,4,640,700,0,13,10,0,0,1
"211",211,3.67,3.53,690,720,0,17,0,0,1,1
"212",212,2.52,2.76,560,620,0,7,4,0,1,1
"213",213,3.33,3.45,600,650,1,19,6,1,1,1
"214",214,3.31,3.54,680,660,1,17,0,0,1,1
"215",215,3.13,3.41,700,690,1,10,19,0,1,1
"216",216,2.88,3.58,680,740,0,20,3,0,0,1
"217",217,2.65,3.15,590,750,1,8.5,8.5,0,1,1
"218",218,2.97,3.09,670,630,0,12,4,0,1,1
"219",219,2.62,2.91,610,710,1,7,3,0,1,1
