school,sex,age,Medu,Fedu,traveltime,studytime,famsup,activities,internet,famrel,goout,health,absences,G1,G2,G3,GPA
GP,F,18,4,4,2,2,no,no,no,4,4,3,6,5,6,6,1.133333333
GP,F,17,1,1,1,2,yes,no,yes,5,3,3,4,5,5,6,1.066666667
GP,F,15,1,1,1,2,no,no,yes,4,2,3,10,7,8,10,1.666666667
GP,F,15,4,2,1,3,yes,yes,yes,3,2,5,2,15,14,15,2.933333333
GP,F,16,3,3,1,2,yes,no,no,4,2,5,4,6,10,10,1.733333333
GP,M,16,4,3,1,2,yes,yes,yes,5,2,5,10,15,15,15,3
GP,M,16,2,2,1,2,no,no,yes,4,4,3,0,12,12,11,2.333333333
GP,F,17,4,4,2,2,yes,no,no,4,4,1,6,6,5,6,1.133333333
GP,M,15,3,2,1,2,yes,no,yes,4,2,1,0,16,18,19,3.533333333
GP,M,15,3,4,1,2,yes,yes,yes,5,1,5,0,14,15,15,2.933333333
GP,F,15,4,4,1,2,yes,no,yes,3,3,2,0,10,8,9,1.8
GP,F,15,2,1,3,3,yes,yes,yes,5,2,4,4,10,12,12,2.266666667
GP,M,15,4,4,1,1,yes,yes,yes,4,3,5,2,14,14,14,2.8
GP,M,15,4,3,2,2,yes,no,yes,5,3,3,2,10,10,11,2.066666667
GP,M,15,2,2,1,3,yes,no,yes,4,2,3,0,14,16,16,3.066666667
GP,F,16,4,4,1,1,yes,no,yes,4,4,2,4,14,14,14,2.8
GP,F,16,4,4,1,3,yes,yes,yes,3,3,2,6,13,14,14,2.733333333
GP,F,16,3,3,3,2,yes,yes,no,5,2,4,4,8,10,10,1.866666667
GP,M,17,3,2,1,1,yes,yes,yes,5,5,5,16,6,5,5,1.066666667
GP,M,16,4,3,1,1,no,yes,yes,3,3,5,4,8,10,10,1.866666667
GP,M,15,4,3,1,2,no,no,yes,4,1,1,0,13,14,15,2.8
GP,M,15,4,4,1,1,yes,no,yes,5,2,5,0,12,15,15,2.8
GP,M,16,4,2,1,2,no,yes,yes,4,1,5,2,15,15,16,3.066666667
GP,M,16,2,2,2,2,yes,yes,yes,5,4,5,0,13,13,12,2.533333333
GP,F,15,2,4,1,3,yes,yes,yes,4,2,5,2,10,9,8,1.8
GP,F,16,2,2,1,1,yes,no,yes,1,2,5,14,6,9,8,1.533333333
GP,M,15,2,2,1,1,yes,no,yes,4,2,5,2,12,12,11,2.333333333
GP,M,15,4,2,1,1,no,no,yes,2,4,1,4,15,16,15,3.066666667
GP,M,16,3,4,1,2,yes,yes,yes,5,3,5,4,11,11,11,2.2
GP,M,16,4,4,1,2,yes,yes,yes,4,5,5,16,10,12,11,2.2
GP,M,15,4,4,1,2,yes,no,yes,5,2,5,0,9,11,12,2.133333333
GP,M,15,4,4,2,2,yes,yes,yes,4,1,5,0,17,16,17,3.333333333
GP,M,15,4,3,1,2,yes,yes,yes,4,2,5,0,17,16,16,3.266666667
GP,M,15,3,3,1,2,no,yes,yes,5,2,2,0,8,10,12,2
GP,M,16,3,2,1,1,yes,no,yes,5,3,5,0,12,14,15,2.733333333
GP,F,15,2,3,2,1,yes,yes,no,3,1,5,0,8,7,6,1.4
GP,M,15,4,3,1,3,yes,yes,yes,5,3,4,2,15,16,18,3.266666667
GP,M,16,4,4,2,3,yes,yes,yes,2,3,5,7,15,16,15,3.066666667
GP,F,15,3,4,1,3,yes,yes,yes,4,2,5,2,12,12,11,2.333333333
GP,F,15,2,2,1,1,yes,yes,no,4,1,2,8,14,13,13,2.666666667
GP,F,16,2,2,2,2,yes,yes,yes,3,3,3,25,7,10,11,1.866666667
GP,M,15,4,4,1,1,yes,no,yes,5,3,5,8,12,12,12,2.4
GP,M,15,4,4,1,2,yes,yes,yes,4,3,5,2,19,18,18,3.666666667
GP,M,15,2,2,1,1,yes,no,yes,5,1,1,0,8,8,11,1.8
GP,F,16,2,2,2,2,no,yes,yes,4,3,5,14,10,10,9,1.933333333
GP,F,15,4,3,1,2,yes,yes,yes,5,2,5,8,8,8,6,1.466666667
GP,F,16,3,3,1,2,yes,no,yes,2,5,3,12,11,12,11,2.266666667
GP,M,16,4,3,1,4,no,yes,yes,4,2,2,4,19,19,20,3.866666667
GP,M,15,4,2,1,2,yes,no,no,4,3,5,2,15,15,14,2.933333333
GP,F,15,4,4,1,2,yes,yes,yes,4,4,3,2,7,7,7,1.4
GP,F,16,2,2,3,2,yes,no,yes,4,3,4,2,12,13,13,2.533333333
GP,F,15,4,2,1,2,yes,no,yes,4,3,5,2,11,13,13,2.466666667
GP,M,15,4,2,2,1,no,no,no,5,5,5,6,11,11,10,2.133333333
GP,F,15,4,4,1,1,yes,no,yes,3,4,5,0,8,10,11,1.933333333
GP,F,15,3,3,1,1,no,no,yes,5,4,1,6,10,13,13,2.4
GP,F,16,2,1,1,2,no,yes,yes,5,4,2,8,8,9,10,1.8
GP,F,15,4,3,1,2,yes,yes,yes,4,2,1,0,14,15,15,2.933333333
GP,M,15,4,4,1,2,yes,yes,no,3,2,5,4,14,15,15,2.933333333
GP,M,15,1,2,1,2,yes,yes,yes,4,2,5,2,9,10,9,1.866666667
GP,F,16,4,2,1,2,yes,no,yes,4,3,5,2,15,16,16,3.133333333
GP,F,16,4,4,1,2,yes,yes,no,2,4,4,6,10,11,11,2.133333333
GP,F,16,1,1,4,1,yes,yes,yes,5,5,5,6,10,8,11,1.933333333
GP,F,16,1,2,1,2,no,yes,yes,4,3,1,4,8,10,9,1.8
GP,F,16,4,3,1,3,yes,yes,yes,3,4,4,2,10,9,9,1.866666667
GP,F,15,4,3,1,2,no,yes,yes,4,4,2,0,10,10,10,2
GP,F,16,4,3,3,2,yes,yes,yes,5,3,1,2,16,15,15,3.066666667
GP,M,15,4,4,1,4,yes,yes,yes,1,3,3,4,13,13,12,2.533333333
GP,F,16,3,1,1,4,yes,no,yes,4,3,5,4,7,7,6,1.333333333
GP,F,15,2,2,2,2,yes,no,yes,4,3,4,2,8,9,8,1.666666667
GP,F,15,3,1,2,4,yes,no,yes,4,2,3,12,16,16,16,3.2
GP,M,16,3,1,2,4,yes,no,yes,4,2,5,0,13,15,15,2.866666667
GP,M,15,4,2,1,4,no,no,yes,3,3,3,0,10,10,10,2
GP,F,15,1,1,1,2,yes,no,yes,3,4,5,2,8,6,5,1.266666667
GP,M,16,3,1,1,1,no,yes,no,5,2,5,2,12,12,14,2.533333333
GP,F,16,3,3,1,2,yes,yes,yes,4,3,5,54,11,12,11,2.266666667
GP,M,15,4,3,1,2,yes,yes,yes,4,3,5,6,9,9,10,1.866666667
GP,M,15,4,0,2,4,no,yes,yes,3,3,1,8,11,11,10,2.133333333
GP,F,16,2,2,1,4,no,no,yes,5,3,3,0,11,11,11,2.2
GP,M,17,2,1,2,1,yes,yes,yes,4,1,3,2,8,8,10,1.733333333
GP,F,16,3,4,1,2,yes,no,yes,2,3,3,12,5,5,5,1
GP,M,15,2,3,1,1,yes,yes,yes,3,2,3,2,10,12,12,2.266666667
GP,M,15,2,3,1,3,no,no,yes,5,2,5,4,11,10,11,2.133333333
GP,F,15,3,2,1,2,yes,no,yes,4,4,5,10,7,6,6,1.266666667
GP,M,15,2,2,2,2,no,yes,yes,5,3,4,4,15,15,15,3
GP,F,15,1,1,1,2,yes,yes,yes,4,2,4,2,9,10,10,1.933333333
GP,F,15,4,4,2,2,no,no,yes,4,4,5,6,7,9,8,1.6
GP,F,16,2,2,1,2,yes,no,no,4,4,2,4,8,7,6,1.4
GP,F,15,4,2,1,3,yes,yes,yes,5,3,1,4,13,14,14,2.733333333
GP,M,16,2,2,2,2,no,yes,yes,4,2,3,12,11,10,10,2.066666667
GP,M,16,4,4,1,2,yes,no,no,4,3,5,18,8,6,7,1.4
GP,F,16,3,3,1,3,yes,no,yes,4,3,4,0,7,7,8,1.466666667
GP,F,15,4,3,1,1,no,yes,yes,4,5,1,4,16,17,18,3.4
GP,F,16,3,1,1,2,yes,no,no,3,3,2,4,7,6,6,1.266666667
GP,F,16,4,2,2,2,yes,yes,yes,5,3,1,0,11,10,10,2.066666667
GP,M,15,2,2,1,4,yes,yes,yes,4,4,4,6,11,13,14,2.533333333
GP,F,15,1,1,2,4,yes,yes,yes,3,2,1,2,7,10,10,1.8
GP,M,16,4,3,2,1,yes,yes,yes,3,3,4,2,11,15,15,2.733333333
GP,F,16,2,1,1,2,yes,no,no,4,5,5,2,8,9,10,1.8
GP,F,16,4,4,1,1,no,yes,yes,5,4,1,6,11,14,14,2.6
GP,F,16,4,3,1,3,yes,no,yes,5,5,3,0,7,9,8,1.6
GP,M,16,4,4,1,1,yes,yes,yes,4,5,4,14,7,7,5,1.266666667
GP,M,16,4,4,1,3,yes,yes,yes,4,3,4,0,16,17,17,3.333333333
GP,M,15,4,4,1,1,yes,yes,yes,5,3,5,4,10,13,14,2.466666667
GP,F,15,3,2,2,2,yes,no,yes,4,5,2,26,7,6,6,1.266666667
GP,M,15,3,4,1,2,yes,yes,yes,5,4,1,0,16,18,18,3.466666667
GP,F,15,3,3,1,4,no,no,no,4,3,4,10,10,11,11,2.133333333
GP,F,15,2,2,1,4,yes,no,yes,5,2,3,8,7,8,8,1.533333333
GP,M,16,3,3,1,3,yes,yes,yes,5,3,5,2,16,18,18,3.466666667
GP,M,15,4,4,4,4,yes,yes,yes,1,5,1,6,10,13,13,2.4
GP,F,16,4,4,1,3,yes,yes,yes,5,5,4,4,14,15,16,3
GP,M,15,4,4,1,1,no,yes,yes,5,3,4,6,18,19,19,3.733333333
GP,F,16,3,3,1,3,yes,yes,yes,4,2,2,0,7,10,10,1.8
GP,F,16,2,2,1,2,no,yes,yes,3,2,5,6,10,13,13,2.4
GP,M,15,4,2,1,1,no,no,yes,3,2,3,10,18,19,19,3.733333333
GP,M,15,2,1,1,2,no,yes,yes,5,2,5,8,9,9,9,1.8
GP,M,16,4,4,1,2,yes,yes,yes,5,4,5,2,15,15,16,3.066666667
GP,M,15,4,4,2,2,yes,yes,no,4,3,2,2,11,13,14,2.533333333
GP,M,16,3,3,2,1,no,yes,yes,5,2,5,0,13,14,13,2.666666667
GP,M,17,1,3,3,2,yes,yes,yes,5,4,5,20,9,7,8,1.6
GP,M,15,3,4,1,1,no,no,yes,3,3,4,6,14,13,13,2.666666667
GP,F,15,1,2,1,2,no,no,yes,3,3,1,2,16,15,15,3.066666667
GP,M,15,2,2,1,4,yes,yes,yes,5,4,5,6,16,14,15,3
GP,F,16,2,4,2,2,yes,yes,yes,4,2,5,2,13,13,13,2.6
GP,M,16,4,4,1,1,yes,yes,yes,3,4,5,18,14,11,13,2.533333333
GP,F,16,2,2,1,2,no,no,yes,5,4,5,0,8,7,8,1.533333333
GP,M,15,3,4,1,1,no,no,yes,5,5,5,0,13,13,12,2.533333333
GP,F,15,3,4,1,2,no,yes,yes,5,2,1,0,7,10,11,1.866666667
GP,F,19,0,1,1,2,yes,no,no,3,2,5,2,7,8,9,1.6
GP,M,18,2,2,1,1,yes,yes,yes,3,3,4,0,7,4,0,0.733333333
GP,M,16,4,4,1,1,no,yes,yes,3,5,4,8,18,18,18,3.6
GP,F,15,3,4,2,3,yes,no,yes,4,2,5,0,12,0,0,0.8
GP,F,15,1,1,3,1,yes,yes,yes,4,3,4,0,8,0,0,0.533333333
GP,F,17,2,2,1,1,yes,no,yes,3,4,5,12,10,13,12,2.333333333
GP,F,16,3,4,1,1,no,no,yes,3,1,5,16,12,11,11,2.266666667
GP,M,15,3,4,4,2,yes,no,no,5,3,5,0,9,0,0,0.6
GP,F,15,4,4,1,3,yes,yes,yes,4,3,5,0,11,0,0,0.733333333
GP,M,17,3,4,3,2,no,no,no,5,5,5,0,10,0,0,0.666666667
GP,F,16,3,3,2,1,yes,yes,yes,4,2,5,0,4,0,0,0.266666667
GP,M,16,1,1,1,2,no,no,no,4,4,5,0,14,12,12,2.533333333
GP,F,15,4,4,2,1,no,yes,yes,4,2,5,0,16,16,15,3.133333333
GP,M,15,4,3,2,4,yes,no,yes,2,2,3,0,7,9,0,1.066666667
GP,M,16,2,2,2,1,yes,yes,yes,2,3,2,8,9,9,9,1.8
GP,F,15,4,4,1,3,yes,yes,yes,4,2,5,2,9,11,11,2.066666667
GP,F,16,1,1,1,1,no,no,yes,3,4,1,2,14,14,13,2.733333333
GP,M,17,2,1,1,1,yes,no,yes,5,5,5,0,5,0,0,0.333333333
GP,F,15,1,1,1,2,yes,no,yes,4,2,5,0,8,11,11,2
GP,F,15,3,2,1,2,yes,no,yes,3,2,3,0,6,7,0,0.866666667
GP,F,15,1,2,1,2,yes,no,yes,4,2,5,2,10,11,11,2.133333333
GP,M,16,4,4,1,1,yes,no,yes,3,2,5,0,7,6,0,0.866666667
GP,M,15,2,1,4,1,no,no,yes,4,5,5,0,8,9,10,1.8
GP,M,18,1,1,1,1,no,no,yes,2,5,4,0,6,5,0,0.733333333
GP,M,16,2,1,1,1,no,yes,no,4,4,5,6,12,13,14,2.6
GP,F,15,3,3,2,3,yes,yes,yes,4,1,3,8,10,10,10,2
GP,M,19,3,2,1,1,yes,no,yes,4,4,4,0,5,0,0,0.333333333
GP,F,17,4,4,1,1,yes,no,no,4,1,4,0,11,11,12,2.266666667
GP,M,15,2,3,1,2,no,yes,no,4,4,1,2,11,8,8,1.8
GP,M,17,1,2,1,1,no,no,no,2,2,5,8,16,12,13,2.733333333
GP,F,18,1,1,3,1,yes,yes,no,5,5,4,6,9,8,10,1.8
GP,M,16,2,2,3,1,no,no,no,4,2,3,2,17,15,15,3.133333333
GP,M,16,3,3,1,2,yes,no,yes,4,5,5,4,10,12,12,2.266666667
GP,M,17,2,1,2,1,no,yes,yes,3,2,5,0,7,6,0,0.866666667
GP,M,15,3,2,2,2,yes,no,yes,4,4,3,6,5,9,7,1.4
GP,M,16,1,2,2,1,no,yes,no,4,4,5,0,7,0,0,0.466666667
GP,M,17,1,3,1,1,no,no,yes,5,3,2,2,10,10,10,2
GP,M,17,1,1,4,2,no,yes,no,5,5,5,0,5,8,7,1.333333333
GP,M,16,3,2,2,1,yes,yes,no,4,2,2,16,12,11,12,2.333333333
GP,M,16,2,2,1,2,no,no,yes,4,5,4,4,10,10,10,2
GP,F,16,4,2,1,2,no,no,yes,4,3,3,0,14,15,16,3
GP,F,16,2,2,1,2,yes,no,yes,5,5,4,0,6,7,0,0.866666667
GP,F,16,4,4,1,2,yes,no,yes,4,2,3,0,14,14,14,2.8
GP,M,16,3,4,3,1,yes,yes,yes,3,5,2,0,6,5,0,0.733333333
GP,M,16,1,0,2,2,yes,yes,yes,4,2,3,2,13,15,16,2.933333333
GP,M,17,4,4,1,2,yes,yes,yes,4,4,5,0,13,11,10,2.266666667
GP,F,16,1,3,1,2,no,yes,yes,4,5,3,0,8,7,0,1
GP,F,16,3,3,2,2,yes,yes,yes,4,5,4,4,10,11,9,2
GP,M,17,4,3,2,2,no,yes,yes,4,4,4,4,10,9,9,1.866666667
GP,F,16,2,2,2,2,no,yes,yes,3,4,5,2,13,13,11,2.466666667
GP,M,17,3,3,1,2,no,yes,yes,4,4,4,4,6,5,6,1.133333333
GP,M,16,4,2,1,1,yes,yes,yes,4,3,3,10,10,8,9,1.8
GP,M,17,4,3,1,2,yes,yes,yes,5,3,2,4,10,10,11,2.066666667
GP,M,16,4,3,1,2,yes,yes,yes,3,3,3,10,9,8,8,1.666666667
GP,M,16,3,3,1,2,no,yes,yes,4,3,3,2,12,13,12,2.466666667
GP,F,17,2,4,1,2,yes,yes,no,5,2,5,0,16,17,17,3.333333333
GP,F,17,3,3,1,2,yes,yes,yes,5,3,1,56,9,9,8,1.733333333
GP,F,16,3,2,1,2,yes,no,yes,1,2,1,14,12,13,12,2.466666667
GP,M,17,3,3,1,2,yes,yes,yes,4,4,4,12,12,12,11,2.333333333
GP,M,16,1,2,1,1,yes,yes,yes,3,3,3,2,11,12,11,2.266666667
GP,M,16,2,1,1,2,no,yes,yes,4,3,5,0,15,15,15,3
GP,F,17,3,3,1,2,yes,no,yes,3,3,3,6,8,7,9,1.6
GP,M,17,1,2,1,2,no,no,no,3,3,3,4,8,9,10,1.8
GP,F,16,2,3,1,2,no,no,yes,4,3,2,10,11,12,13,2.4
GP,F,17,1,1,1,2,no,yes,yes,5,3,3,0,8,8,9,1.666666667
GP,M,17,1,2,2,2,no,yes,yes,4,4,5,12,7,8,8,1.533333333
GP,M,16,3,3,1,1,yes,yes,yes,4,2,5,8,8,9,10,1.8
GP,M,16,2,3,2,1,no,no,yes,5,3,3,0,13,14,14,2.733333333
GP,F,17,2,4,1,2,no,yes,yes,4,2,5,0,14,15,15,2.933333333
