school,sex,age,Medu,Fedu,traveltime,studytime,famsup,activities,internet,famrel,goout,health,absences,G1,G2,G3,GPA
GP,M,17,4,4,1,1,no,no,yes,5,3,5,4,17,15,16,3.2
GP,M,16,3,3,3,1,yes,yes,yes,3,4,3,8,9,9,10,1.866666667
GP,F,17,4,4,2,1,yes,no,yes,4,4,2,24,18,18,18,3.6
GP,F,16,4,4,1,2,yes,no,yes,4,2,3,0,9,9,10,1.866666667
GP,F,16,4,3,1,2,yes,yes,yes,4,5,2,2,16,16,16,3.2
GP,F,16,2,3,1,2,yes,yes,no,4,3,4,6,8,10,10,1.866666667
GP,F,17,1,1,1,2,yes,no,no,4,4,1,4,9,9,10,1.866666667
GP,F,17,2,2,1,1,yes,no,yes,5,2,3,18,7,6,6,1.266666667
GP,F,16,2,2,2,4,yes,yes,yes,5,5,5,6,10,10,11,2.066666667
GP,F,17,3,4,1,3,yes,no,yes,4,3,5,28,10,9,9,1.866666667
GP,F,16,3,1,1,2,yes,no,yes,2,3,4,5,7,7,7,1.4
GP,F,16,4,3,1,2,no,yes,yes,1,2,1,10,11,12,13,2.4
GP,F,16,1,1,2,1,yes,no,no,4,2,5,6,9,9,10,1.866666667
GP,F,17,4,3,2,3,yes,yes,yes,4,2,4,6,7,7,7,1.4
GP,F,19,3,3,1,4,yes,yes,yes,4,3,3,10,8,8,8,1.6
GP,M,17,4,4,1,2,yes,no,yes,5,5,3,13,12,12,13,2.466666667
GP,F,16,2,2,1,2,yes,no,yes,3,4,4,0,12,13,14,2.6
GP,M,18,2,2,1,2,yes,yes,yes,4,4,5,15,6,7,8,1.4
GP,F,17,4,4,1,1,yes,no,no,5,1,3,12,8,10,10,1.866666667
GP,F,17,3,2,2,2,no,no,yes,4,4,1,2,14,15,15,2.933333333
GP,F,17,4,3,1,2,no,no,yes,3,5,1,22,6,6,4,1.066666667
GP,M,18,3,3,1,2,yes,no,yes,3,4,4,13,6,6,8,1.333333333
GP,F,17,2,3,2,1,yes,no,no,3,3,3,3,7,7,8,1.466666667
GP,F,17,2,2,1,3,yes,yes,yes,4,3,4,4,9,10,10,1.933333333
GP,F,17,2,1,2,2,yes,yes,yes,4,5,5,2,6,6,6,1.2
GP,F,17,1,1,1,3,yes,yes,no,4,4,5,0,6,5,0,0.733333333
GP,F,16,2,3,1,2,no,no,yes,2,1,3,2,16,16,17,3.266666667
GP,M,18,2,2,2,2,yes,no,yes,3,3,4,0,12,13,13,2.533333333
GP,F,16,4,4,1,3,yes,yes,yes,5,2,5,0,13,13,14,2.666666667
GP,F,18,3,1,1,2,no,yes,yes,5,3,4,16,9,8,7,1.6
GP,F,17,3,2,1,2,no,yes,yes,5,4,3,10,16,15,15,3.066666667
GP,M,17,2,3,1,2,yes,no,yes,5,3,3,2,12,11,12,2.333333333
GP,M,18,2,1,4,2,yes,yes,yes,4,2,3,14,10,8,9,1.8
GP,F,17,2,1,2,3,no,yes,yes,3,3,3,10,12,10,12,2.266666667
GP,F,17,4,3,1,2,no,yes,yes,3,3,3,14,13,13,14,2.666666667
GP,M,17,2,2,2,2,yes,yes,yes,4,2,1,4,11,11,11,2.2
GP,M,17,4,4,1,2,yes,yes,yes,4,5,2,14,11,9,9,1.933333333
GP,M,16,4,4,1,2,yes,yes,yes,4,4,1,2,14,13,13,2.666666667
GP,M,16,1,1,2,2,yes,no,yes,3,2,5,18,9,7,6,1.466666667
GP,M,16,3,2,2,3,no,yes,yes,5,3,2,10,11,9,10,2
GP,M,17,2,2,1,2,no,yes,yes,4,2,4,4,14,13,13,2.666666667
GP,F,16,2,1,1,1,no,no,yes,4,2,5,20,13,12,12,2.466666667
GP,F,17,2,1,3,2,no,yes,no,2,1,3,2,13,11,11,2.333333333
GP,M,18,2,2,1,2,no,no,yes,5,4,2,0,7,7,0,0.933333333
GP,M,17,4,3,2,2,no,yes,yes,2,5,5,14,12,12,12,2.4
GP,M,17,4,4,2,2,yes,no,yes,3,3,4,2,10,11,12,2.2
GP,M,16,4,3,1,1,no,yes,yes,5,5,3,0,6,0,0,0.4
GP,M,16,4,4,1,1,no,yes,yes,5,2,5,0,13,12,12,2.466666667
GP,F,18,2,1,2,3,yes,no,yes,4,4,3,0,7,0,0,0.466666667
GP,M,16,2,1,3,1,no,no,yes,4,3,4,6,18,18,18,3.6
GP,M,17,2,3,2,1,no,no,yes,5,2,2,4,12,12,13,2.466666667
GP,M,22,3,1,1,1,no,no,yes,5,5,1,16,6,8,8,1.466666667
GP,M,18,3,3,1,2,yes,no,yes,4,3,5,8,3,5,5,0.866666667
GP,M,16,0,2,1,1,no,no,yes,4,2,5,0,13,15,15,2.866666667
GP,M,18,3,2,2,1,no,no,yes,4,5,5,0,6,8,8,1.466666667
GP,M,16,3,3,3,2,yes,no,yes,5,3,2,6,7,10,10,1.8
GP,M,18,2,1,1,1,no,no,yes,3,5,5,4,6,9,8,1.533333333
GP,M,16,2,1,2,1,no,yes,no,3,2,3,0,8,9,8,1.666666667
GP,M,17,2,1,1,1,no,no,yes,4,2,5,0,8,12,12,2.133333333
GP,M,17,1,1,2,1,yes,yes,yes,4,4,5,2,7,9,8,1.6
GP,F,17,4,2,1,4,yes,yes,yes,4,3,4,6,14,12,13,2.6
GP,M,19,4,3,1,2,yes,no,yes,4,1,1,12,11,11,11,2.2
GP,M,18,2,1,1,2,no,yes,yes,5,4,4,8,15,14,14,2.866666667
GP,F,17,2,2,1,4,no,yes,yes,3,1,2,0,10,9,0,1.266666667
GP,F,18,4,3,1,2,yes,no,yes,3,2,2,21,17,18,18,3.533333333
GP,M,18,4,3,1,2,yes,no,yes,4,2,3,2,8,8,8,1.6
GP,M,18,3,2,1,3,no,yes,no,5,2,3,1,13,12,12,2.466666667
GP,F,17,3,3,1,3,no,yes,no,3,3,4,4,10,9,9,1.866666667
GP,F,18,2,2,1,3,yes,yes,yes,4,3,3,0,9,10,0,1.266666667
GP,M,18,3,4,2,2,yes,yes,yes,4,5,1,13,17,17,17,3.4
GP,M,17,3,1,1,2,no,yes,yes,5,4,5,2,9,9,10,1.866666667
GP,F,18,4,4,2,2,no,yes,yes,4,4,4,8,12,10,11,2.2
GP,M,18,4,2,1,2,yes,yes,yes,5,5,5,10,10,9,10,1.933333333
GP,F,18,2,1,2,2,yes,no,yes,4,5,3,0,6,0,0,0.4
GP,F,19,3,3,1,2,yes,yes,yes,4,5,5,15,9,9,9,1.8
GP,F,18,2,3,1,4,yes,yes,yes,4,5,2,4,15,14,14,2.866666667
GP,F,18,1,1,2,2,yes,no,no,4,3,3,2,11,11,11,2.2
GP,M,17,1,2,1,2,yes,yes,no,3,2,1,2,15,14,14,2.866666667
GP,F,17,2,4,2,2,yes,no,yes,4,3,1,2,10,10,10,2
GP,F,17,2,2,2,2,yes,no,yes,4,4,5,6,12,12,12,2.4
GP,F,18,3,2,2,2,no,no,yes,4,1,5,75,10,9,9,1.866666667
GP,M,18,4,4,2,1,no,yes,yes,3,4,3,22,9,9,9,1.8
GP,F,18,4,4,1,2,yes,yes,yes,2,4,4,15,9,8,8,1.666666667
GP,M,18,4,3,2,1,no,yes,yes,4,3,1,8,10,11,10,2.066666667
GP,M,17,4,1,2,1,no,yes,yes,4,4,5,30,8,8,8,1.6
GP,M,17,3,2,1,1,no,no,yes,4,4,3,19,11,9,10,2
GP,F,18,1,1,2,4,yes,yes,no,5,2,3,1,12,12,12,2.4
GP,F,18,1,1,2,2,no,yes,yes,5,4,4,4,8,9,10,1.8
GP,F,17,2,2,1,2,yes,no,yes,5,5,5,4,10,9,11,2
GP,M,17,1,1,1,2,no,no,yes,4,3,4,2,12,10,11,2.2
GP,F,18,2,2,1,3,yes,no,yes,4,3,2,5,18,18,19,3.666666667
GP,F,17,1,1,1,3,yes,no,yes,4,3,3,6,13,12,12,2.466666667
GP,M,18,2,1,1,3,no,yes,yes,4,4,2,6,15,14,14,2.866666667
GP,M,18,4,4,1,2,yes,yes,yes,5,3,2,9,15,13,15,2.866666667
GP,M,18,4,2,1,2,yes,yes,yes,4,2,5,11,12,11,11,2.266666667
GP,F,17,4,3,1,3,yes,no,yes,4,2,3,0,15,15,15,3
GP,F,18,2,1,1,2,no,no,yes,5,3,5,12,12,12,13,2.466666667
GP,F,17,3,1,2,4,yes,no,no,3,2,3,6,18,18,18,3.6
GP,M,18,3,2,2,3,yes,yes,yes,5,2,4,8,14,13,14,2.733333333
GP,M,17,3,3,1,1,yes,no,yes,4,3,5,4,14,12,11,2.466666667
GP,F,19,4,4,2,2,yes,yes,yes,2,4,2,0,10,9,0,1.266666667
GP,F,18,4,3,2,2,yes,no,yes,4,5,2,10,10,8,8,1.733333333
GP,F,18,4,3,1,4,yes,no,yes,4,3,3,0,14,13,14,2.733333333
GP,M,18,4,4,1,1,yes,no,yes,1,2,1,5,16,15,16,3.133333333
GP,F,18,4,4,1,2,yes,no,yes,4,4,4,14,12,10,11,2.2
GP,M,17,4,4,2,1,no,no,yes,4,1,5,0,11,11,10,2.133333333
GP,F,17,4,2,2,3,yes,no,yes,4,3,3,0,15,12,14,2.733333333
GP,F,17,3,2,1,4,yes,yes,yes,5,2,5,0,17,17,18,3.466666667
GP,M,19,3,3,1,2,yes,yes,yes,4,4,3,20,15,14,13,2.8
GP,F,18,2,4,1,2,yes,yes,yes,4,3,3,8,14,12,12,2.533333333
GP,M,20,3,2,1,1,no,yes,no,5,3,5,0,17,18,18,3.533333333
GP,M,19,4,4,2,1,yes,no,yes,4,4,4,38,8,9,8,1.666666667
GP,M,19,3,3,1,2,no,yes,no,4,3,5,0,15,12,12,2.6
GP,F,19,1,1,1,2,yes,yes,yes,4,3,3,18,12,10,10,2.133333333
GP,F,19,1,2,1,2,no,yes,no,4,4,3,0,9,9,0,1.2
GP,F,19,2,1,3,2,yes,no,yes,3,1,2,20,14,12,13,2.6
GP,M,19,1,2,1,2,no,no,yes,4,2,4,3,13,11,11,2.333333333
GP,F,19,3,2,2,2,yes,no,yes,4,2,1,22,13,10,11,2.266666667
GP,F,19,1,1,1,3,no,no,yes,4,2,3,14,15,13,13,2.733333333
GP,F,19,2,3,1,3,no,no,yes,4,2,3,40,13,11,11,2.333333333
GP,F,18,2,1,2,2,yes,yes,yes,5,3,1,0,8,8,0,1.066666667
GP,F,18,4,3,1,3,yes,yes,yes,4,4,5,9,9,10,9,1.866666667
GP,F,17,3,4,1,3,yes,yes,yes,4,4,5,0,11,11,10,2.133333333
GP,F,18,4,4,1,2,yes,no,yes,4,4,5,2,11,11,11,2.2
GP,F,17,4,3,1,2,yes,no,yes,5,2,5,23,13,13,13,2.6
GP,F,17,2,2,1,2,yes,no,no,4,2,3,12,11,9,9,1.933333333
GP,F,17,2,2,1,3,yes,yes,yes,3,2,3,3,11,11,11,2.2
GP,F,17,3,1,1,3,yes,no,yes,3,3,5,1,12,14,15,2.733333333
GP,F,17,0,2,2,3,no,no,yes,3,3,2,0,16,15,15,3.066666667
GP,M,18,4,4,1,3,no,yes,yes,4,3,3,3,9,12,11,2.133333333
GP,M,17,3,3,1,1,no,yes,yes,4,5,5,3,14,15,16,3
GP,M,17,2,2,4,1,yes,no,yes,4,5,4,8,11,10,10,2.066666667
GP,F,17,4,4,1,3,yes,yes,yes,5,4,4,7,10,9,9,1.866666667
GP,F,17,4,4,2,3,yes,no,yes,4,3,4,4,14,14,14,2.8
GP,M,18,2,2,1,4,yes,yes,yes,4,5,5,2,9,8,8,1.666666667
GP,F,17,2,4,1,3,yes,no,yes,4,3,5,7,12,14,14,2.666666667
GP,F,18,3,3,1,2,no,yes,yes,5,4,4,0,7,0,0,0.466666667
GP,F,18,2,2,1,2,no,yes,yes,4,3,2,0,8,8,0,1.066666667
GP,F,18,2,2,2,4,no,yes,no,4,4,4,0,10,9,0,1.266666667
GP,F,17,3,4,1,3,no,no,yes,4,5,5,16,16,15,15,3.066666667
GP,F,19,3,1,1,3,no,no,no,5,3,5,12,14,13,13,2.666666667
GP,F,17,3,2,1,2,yes,no,yes,4,2,2,0,7,8,0,1
GP,F,18,3,3,1,4,yes,no,yes,5,3,1,7,16,15,17,3.2
GP,F,17,3,2,1,2,yes,no,yes,4,3,2,4,9,10,10,1.933333333
GP,F,19,2,1,1,3,no,yes,yes,4,4,3,4,11,12,11,2.266666667
GP,M,18,4,4,1,2,yes,yes,yes,4,3,2,0,10,10,0,1.333333333
GP,M,18,3,4,1,2,no,yes,yes,4,3,5,11,16,15,15,3.066666667
GP,F,17,2,2,1,2,yes,no,yes,3,1,4,0,9,8,0,1.133333333
GP,F,18,2,3,1,3,yes,no,yes,4,3,3,4,11,10,10,2.066666667
GP,F,18,3,2,1,3,no,no,yes,5,3,1,7,13,13,14,2.666666667
GP,M,18,4,3,1,3,no,no,yes,5,2,4,9,16,15,16,3.133333333
GP,M,18,4,3,1,3,yes,no,yes,5,5,5,0,10,10,9,1.933333333
GP,F,17,4,3,1,3,yes,yes,yes,4,3,4,0,13,15,15,2.866666667
MS,M,18,3,2,2,1,yes,no,yes,2,5,5,10,11,13,13,2.466666667
MS,M,19,1,1,3,2,no,no,yes,5,4,2,8,8,7,8,1.533333333
MS,M,17,3,3,2,2,yes,no,yes,4,4,3,2,13,13,13,2.6
MS,M,18,1,3,1,1,no,no,yes,4,3,3,7,8,7,8,1.533333333
MS,M,19,1,1,3,1,yes,no,yes,4,4,5,4,8,8,8,1.6
MS,M,17,4,3,2,2,yes,yes,yes,4,5,2,4,13,11,11,2.333333333
MS,F,18,3,3,1,2,yes,no,no,5,4,5,0,10,9,9,1.866666667
MS,F,17,4,4,2,2,yes,yes,yes,4,3,5,4,12,13,13,2.533333333
MS,F,17,3,2,2,2,no,no,no,1,3,5,2,12,12,11,2.333333333
MS,M,18,1,1,2,1,no,no,yes,3,2,3,4,10,10,10,2
MS,F,18,1,1,2,3,no,no,yes,5,2,4,0,18,16,16,3.333333333
MS,F,18,1,4,3,2,no,no,no,4,4,5,0,13,13,13,2.6
MS,M,18,1,1,2,2,no,yes,no,4,3,5,2,13,12,12,2.466666667
MS,F,18,3,3,2,2,yes,no,yes,4,2,3,0,11,11,10,2.133333333
MS,F,17,4,4,1,2,yes,yes,yes,2,4,1,0,16,15,15,3.066666667
MS,F,17,1,2,2,2,no,no,no,3,2,3,0,12,11,12,2.333333333
MS,M,18,1,3,2,2,yes,no,no,3,4,3,4,10,10,10,2
MS,M,18,4,4,2,3,no,no,yes,4,2,5,0,13,13,13,2.6
MS,F,17,1,1,3,1,yes,no,yes,5,1,1,0,7,6,0,0.866666667
MS,F,18,2,3,2,1,yes,no,yes,5,3,4,0,11,10,10,2.066666667
MS,F,18,4,4,3,2,yes,no,yes,3,2,5,10,14,12,11,2.466666667
MS,F,19,3,2,2,2,no,yes,no,3,2,3,4,7,7,9,1.533333333
MS,M,18,1,2,3,1,yes,yes,yes,4,3,3,3,14,12,12,2.533333333
MS,F,17,2,2,1,3,no,yes,no,3,3,3,8,13,11,11,2.333333333
MS,F,17,1,2,1,1,no,yes,yes,3,5,1,14,6,5,5,1.066666667
MS,F,18,4,4,2,3,no,no,yes,5,4,1,0,19,18,19,3.733333333
MS,F,18,1,1,4,3,no,no,yes,4,2,4,2,8,8,10,1.733333333
MS,F,20,4,2,2,3,yes,no,yes,5,3,3,4,15,14,15,2.933333333
MS,F,18,4,4,1,2,no,yes,yes,5,3,2,4,8,9,10,1.8
MS,F,18,3,3,1,2,no,no,yes,4,3,1,0,15,15,15,3
MS,F,17,3,1,1,2,yes,yes,yes,4,4,1,17,10,10,10,2
MS,M,18,4,4,1,2,no,yes,yes,3,4,2,4,15,14,14,2.866666667
MS,M,18,2,1,2,1,no,yes,yes,4,3,5,5,7,6,7,1.333333333
MS,M,17,2,3,2,2,no,yes,yes,4,3,3,2,11,11,10,2.133333333
MS,M,19,1,1,2,1,no,no,no,4,2,5,0,6,5,0,0.733333333
MS,M,18,4,2,2,1,no,no,no,5,3,3,14,6,5,5,1.066666667
MS,F,18,2,2,2,3,no,no,no,5,3,4,2,10,9,10,1.933333333
MS,F,18,4,4,3,1,yes,yes,yes,4,3,5,7,6,5,6,1.133333333
MS,F,19,2,3,1,3,no,yes,yes,5,2,5,0,7,5,0,0.8
MS,F,18,3,1,1,2,yes,no,yes,4,4,1,0,7,9,8,1.6
MS,F,18,1,1,2,2,no,yes,no,1,1,5,0,6,5,0,0.733333333
MS,M,20,2,2,1,2,yes,no,no,5,4,4,11,9,9,9,1.8
MS,M,17,3,1,2,1,no,no,yes,2,5,2,3,14,16,16,3.066666667
MS,M,21,1,1,1,1,no,no,no,5,3,3,3,10,8,7,1.666666667
MS,M,18,3,2,3,1,no,no,yes,4,1,5,0,11,12,10,2.2
MS,M,19,1,1,1,1,no,no,yes,3,3,5,5,8,9,9,1.733333333
